expense_id,date,amount,description,vendor,department,category
EXP00001,2025-01-01,6175.43,WeWork office lease - January,WeWork,Operations,Office Rent & Facilities
EXP00002,2025-01-03,196.81,Local Bistro - team meal/event,Local Bistro,Engineering,Meals & Entertainment
EXP00003,2025-01-03,57.6,Sweetgreen Catering - team meal/event,Sweetgreen Catering,Sales,Meals & Entertainment
EXP00004,2025-01-03,280.21,Local Bistro - team meal/event,Local Bistro,Sales,Meals & Entertainment
EXP00005,2025-01-03,474.25,Internet & utilities - January,Comcast Business,Operations,Utilities
EXP00006,2025-01-05,1160.57,Business insurance premium - January,Hiscox Business Insurance,Operations,Insurance
EXP00007,2025-01-07,551.67,Datadog subscription - January,Datadog,Engineering,Software Subscriptions
EXP00008,2025-01-08,149.24,Figma subscription - January,Figma,Marketing,Software Subscriptions
EXP00009,2025-01-09,2510.6,Google Ads campaign - January,Google Ads,Marketing,Marketing & Advertising
EXP00010,2025-01-12,700.01,Delta Airlines - business travel January,Delta Airlines,Customer Success,Travel & Transportation
EXP00011,2025-01-18,2907.82,AWS - EC2 & S3 hosting January,Amazon Web Services,Engineering,Cloud Services
EXP00012,2025-01-20,171.48,Zoom subscription - January,Zoom,Sales,Software Subscriptions
EXP00013,2025-01-23,261.17,Atlassian subscription - January,Atlassian,Engineering,Software Subscriptions
EXP00014,2025-01-23,1465.18,LinkedIn Ads campaign - January,LinkedIn Ads,Marketing,Marketing & Advertising
EXP00015,2025-01-25,114.12,Mailchimp campaign - January,Mailchimp,Marketing,Marketing & Advertising
EXP00016,2025-01-28,60212.29,Engineering payroll - January 2025,Gusto Payroll,Engineering,Salaries & Payroll
EXP00017,2025-01-28,33362.52,Sales payroll - January 2025,Gusto Payroll,Sales,Salaries & Payroll
EXP00018,2025-01-28,25340.66,Marketing payroll - January 2025,Gusto Payroll,Marketing,Salaries & Payroll
EXP00019,2025-01-28,16849.73,Customer Success payroll - January 2025,Gusto Payroll,Customer Success,Salaries & Payroll
EXP00020,2025-01-28,8643.0,Operations payroll - January 2025,Gusto Payroll,Operations,Salaries & Payroll
EXP00021,2025-01-28,8617.6,Finance payroll - January 2025,Gusto Payroll,Finance,Salaries & Payroll
EXP00022,2025-01-28,144.45,Sweetgreen Catering - team meal/event,Sweetgreen Catering,Finance,Meals & Entertainment
EXP00023,2025-02-01,6184.19,WeWork office lease - February,WeWork,Operations,Office Rent & Facilities
EXP00024,2025-02-03,476.26,Internet & utilities - February,Comcast Business,Operations,Utilities
EXP00025,2025-02-05,1161.36,Business insurance premium - February,Hiscox Business Insurance,Operations,Insurance
EXP00026,2025-02-05,217.55,DoorDash - team meal/event,DoorDash,Engineering,Meals & Entertainment
EXP00027,2025-02-08,549.97,Datadog subscription - February,Datadog,Engineering,Software Subscriptions
EXP00028,2025-02-08,589.91,Uber - business travel February,Uber,Customer Success,Travel & Transportation
EXP00029,2025-02-09,314.69,GitHub subscription - February,GitHub,Engineering,Software Subscriptions
EXP00030,2025-02-09,104.38,Mailchimp campaign - February,Mailchimp,Marketing,Marketing & Advertising
EXP00031,2025-02-12,105.31,Local Bistro - team meal/event,Local Bistro,Operations,Meals & Entertainment
EXP00032,2025-02-16,70.0,Sweetgreen Catering - team meal/event,Sweetgreen Catering,Sales,Meals & Entertainment
EXP00033,2025-02-19,1669.37,LinkedIn Ads campaign - February,LinkedIn Ads,Marketing,Marketing & Advertising
EXP00034,2025-02-21,183.39,Zoom subscription - February,Zoom,Sales,Software Subscriptions
EXP00035,2025-02-21,742.89,Airbnb - business travel February,Airbnb,Marketing,Travel & Transportation
EXP00036,2025-02-22,3149.12,AWS - EC2 & S3 hosting February,Amazon Web Services,Engineering,Cloud Services
EXP00037,2025-02-26,2644.98,Google Ads campaign - February,Google Ads,Marketing,Marketing & Advertising
EXP00038,2025-02-27,913.88,HubSpot subscription - February,HubSpot,Sales,Software Subscriptions
EXP00039,2025-02-28,59658.9,Engineering payroll - February 2025,Gusto Payroll,Engineering,Salaries & Payroll
EXP00040,2025-02-28,34737.99,Sales payroll - February 2025,Gusto Payroll,Sales,Salaries & Payroll
EXP00041,2025-02-28,25197.38,Marketing payroll - February 2025,Gusto Payroll,Marketing,Salaries & Payroll
