department,category,month,budgeted_amount
Customer Success,Equipment & Hardware,December 2025,2645.86
Customer Success,Equipment & Hardware,October 2025,1818.06
Customer Success,Meals & Entertainment,April 2025,155.13
Customer Success,Meals & Entertainment,May 2025,134.92
Customer Success,Meals & Entertainment,September 2025,169.59
Customer Success,Recruiting & HR,July 2025,877.34
Customer Success,Recruiting & HR,March 2025,1720.23
Customer Success,Recruiting & HR,November 2025,997.23
Customer Success,Recruiting & HR,October 2025,979.28
Customer Success,Salaries & Payroll,April 2025,16093.34
Customer Success,Salaries & Payroll,August 2025,16687.24
Customer Success,Salaries & Payroll,December 2025,16203.34
Customer Success,Salaries & Payroll,February 2025,15715.75
Customer Success,Salaries & Payroll,January 2025,16783.61
Customer Success,Salaries & Payroll,July 2025,16549.96
Customer Success,Salaries & Payroll,June 2025,16123.52
Customer Success,Salaries & Payroll,March 2025,17243.73
Customer Success,Salaries & Payroll,May 2025,16383.57
Customer Success,Salaries & Payroll,November 2025,16607.5
Customer Success,Salaries & Payroll,October 2025,17961.12
Customer Success,Salaries & Payroll,September 2025,19327.73
Customer Success,Travel & Transportation,April 2025,715.71
Customer Success,Travel & Transportation,February 2025,632.71
Customer Success,Travel & Transportation,January 2025,678.76
Customer Success,Travel & Transportation,July 2025,891.06
Customer Success,Travel & Transportation,November 2025,1050.63
Customer Success,Travel & Transportation,September 2025,1716.2
Engineering,Cloud Services,April 2025,4253.47
Engineering,Cloud Services,August 2025,3295.53
Engineering,Cloud Services,December 2025,3873.99
Engineering,Cloud Services,February 2025,2995.78
Engineering,Cloud Services,January 2025,2999.75
Engineering,Cloud Services,July 2025,4441.62
Engineering,Cloud Services,June 2025,3460.29
Engineering,Cloud Services,March 2025,4473.83
Engineering,Cloud Services,May 2025,4054.29
Engineering,Cloud Services,November 2025,4100.6
Engineering,Cloud Services,October 2025,4987.6
Engineering,Cloud Services,September 2025,3683.5
Engineering,Equipment & Hardware,August 2025,2716.39
Engineering,Equipment & Hardware,March 2025,2068.11
Engineering,Equipment & Hardware,May 2025,1393.49
Engineering,Meals & Entertainment,April 2025,552.82
Engineering,Meals & Entertainment,August 2025,613.83
Engineering,Meals & Entertainment,February 2025,241.92
Engineering,Meals & Entertainment,January 2025,200.42
Engineering,Meals & Entertainment,July 2025,175.38
Engineering,Meals & Entertainment,May 2025,117.47
Engineering,Salaries & Payroll,April 2025,64637.82
Engineering,Salaries & Payroll,August 2025,65938.39
Engineering,Salaries & Payroll,December 2025,61152.36
Engineering,Salaries & Payroll,February 2025,59760.53
Engineering,Salaries & Payroll,January 2025,62574.14
Engineering,Salaries & Payroll,July 2025,59389.22
Engineering,Salaries & Payroll,June 2025,57305.46
Engineering,Salaries & Payroll,March 2025,60780.97
Engineering,Salaries & Payroll,May 2025,60648.1
Engineering,Salaries & Payroll,November 2025,54192.09
Engineering,Salaries & Payroll,October 2025,56598.53
Engineering,Salaries & Payroll,September 2025,64851.77
Engineering,Software Subscriptions,April 2025,706.87
Engineering,Software Subscriptions,August 2025,1177.2
Engineering,Software Subscriptions,December 2025,1137.92
Engineering,Software Subscriptions,February 2025,812.65
Engineering,Software Subscriptions,January 2025,879.68
Engineering,Software Subscriptions,July 2025,568.6
Engineering,Software Subscriptions,June 2025,858.8
Engineering,Software Subscriptions,March 2025,697.13
Engineering,Software Subscriptions,May 2025,1351.94
Engineering,Software Subscriptions,November 2025,1526.22
Engineering,Software Subscriptions,October 2025,1192.35
Engineering,Software Subscriptions,September 2025,1071.56
Engineering,Travel & Transportation,April 2025,609.13
Engineering,Travel & Transportation,June 2025,1239.64
Engineering,Travel & Transportation,March 2025,330.31
Engineering,Travel & Transportation,May 2025,1762.62
Engineering,Travel & Transportation,November 2025,1250.83
Finance,Meals & Entertainment,August 2025,227.01
Finance,Meals & Entertainment,January 2025,149.9
Finance,Meals & Entertainment,July 2025,317.56
Finance,Meals & Entertainment,June 2025,380.35
Finance,Meals & Entertainment,May 2025,255.96
Finance,Meals & Entertainment,October 2025,282.38
Finance,Professional Services,December 2025,5605.61
Finance,Professional Services,June 2025,4341.02
Finance,Professional Services,March 2025,4991.67
Finance,Professional Services,September 2025,4319.79
Finance,Salaries & Payroll,April 2025,8652.5
Finance,Salaries & Payroll,August 2025,8292.2
Finance,Salaries & Payroll,December 2025,9414.28
Finance,Salaries & Payroll,February 2025,8425.88
Finance,Salaries & Payroll,January 2025,8440.69
Finance,Salaries & Payroll,July 2025,9024.8
Finance,Salaries & Payroll,June 2025,9066.6
Finance,Salaries & Payroll,March 2025,8529.03
Finance,Salaries & Payroll,May 2025,8079.51
Finance,Salaries & Payroll,November 2025,8420.54
