category,description
Salaries & Payroll,"Employee compensation, salaries, wages, payroll processing and employee benefits"
Cloud Services,"Cloud hosting, servers, infrastructure, compute and storage costs such as AWS, GCP, or Azure"
Software Subscriptions,"SaaS tools, software licenses, productivity apps and recurring platform subscriptions"
Marketing & Advertising,"Paid ads, marketing campaigns, sponsorships, promotions and social media spend"
Travel & Transportation,"Flights, hotels, rideshares, mileage reimbursement and other business travel costs"
Office Rent & Facilities,"Office lease, coworking space, facility maintenance and workspace costs"
Equipment & Hardware,"Laptops, monitors, office equipment and other physical hardware purchases"
Professional Services,"Legal, accounting, consulting and other outside professional service fees"
Insurance,"Business liability, health, and property insurance premiums"
Meals & Entertainment,"Client meals, team lunches, offsites and entertainment expenses"
Recruiting & HR,"Hiring costs, job board postings, background checks and HR tooling"
Utilities,"Electricity, internet, phone and other basic utility costs"
